,Single Year of Age,Sex,VALUE
3296,0,Male,29610
3328,1,Male,28875
3360,2,Male,30236
3392,3,Male,31001
3424,4,Male,31686
3456,5,Male,32684
3488,6,Male,34092
3520,7,Male,35429
3552,8,Male,36296
3584,9,Male,36969
3616,10,Male,38035
3648,11,Male,38296
3680,12,Male,38957
3712,13,Male,38474
3744,14,Male,37352
3776,15,Male,35948
3808,16,Male,34646
3840,17,Male,34981
3872,18,Male,33900
3904,19,Male,32867
3936,20,Male,32120
3968,21,Male,30771
4000,22,Male,31450
4032,23,Male,30871
4064,24,Male,30234
4096,25,Male,29969
4128,26,Male,29376
4160,27,Male,29162
4192,28,Male,28902
4224,29,Male,29989
4256,30,Male,30858
4288,31,Male,32237
4320,32,Male,32413
4352,33,Male,31888
4384,34,Male,33121
4416,35,Male,34695
4448,36,Male,35828
4480,37,Male,36427
4512,38,Male,37513
4544,39,Male,38749
4576,40,Male,40301
4608,41,Male,41401
4640,42,Male,41644
4672,43,Male,39275
4704,44,Male,37940
4736,45,Male,37710
4768,46,Male,37289
4800,47,Male,37053
4832,48,Male,36472
4864,49,Male,36650
4896,50,Male,36050
4928,51,Male,34926
4960,52,Male,34356
4992,53,Male,32611
5024,54,Male,32050
5056,55,Male,31353
5088,56,Male,30684
5120,57,Male,30891
5152,58,Male,29775
5184,59,Male,29196
5216,60,Male,28455
5248,61,Male,27849
5280,62,Male,27116
5312,63,Male,25884
5344,64,Male,25127
5376,65,Male,24900
5408,66,Male,23759
5440,67,Male,23627
5472,68,Male,22502
5504,69,Male,22594
5536,70,Male,21253
5568,71,Male,20449
5600,72,Male,19965
5632,73,Male,19121
5664,74,Male,18493
5696,75,Male,17473
5728,76,Male,16094
5760,77,Male,14601
5792,78,Male,13392
5824,79,Male,12166
5856,80,Male,10674
5888,81,Male,9470
5920,82,Male,8779
5952,83,Male,7900
5984,84,Male,6765
6016,85,Male,6154
6048,86,Male,5370
6080,87,Male,4515
6112,88,Male,3771
6144,89,Male,3036
6176,90,Male,2444
6208,91,Male,1950
6240,92,Male,1297
6272,93,Male,937
6304,94,Male,718
6336,95,Male,482
6368,96,Male,327
6400,97,Male,217
6432,98,Male,130
6464,99,Male,105
6496,100,Male,154
6560,0,Female,28186
6592,1,Female,27545
6624,2,Female,28974
6656,3,Female,29483
6688,4,Female,29819
6720,5,Female,31342
6752,6,Female,32622
6784,7,Female,33572
6816,8,Female,34437
6848,9,Female,35227
6880,10,Female,36066
6912,11,Female,36863
6944,12,Female,37297
6976,13,Female,36782
7008,14,Female,36080
7040,15,Female,34492
7072,16,Female,33168
7104,17,Female,33045
7136,18,Female,32852
7168,19,Female,31729
7200,20,Female,31624
7232,21,Female,29890
7264,22,Female,30768
7296,23,Female,30051
7328,24,Female,29364
7360,25,Female,29294
7392,26,Female,28864
7424,27,Female,29528
7456,28,Female,29788
7488,29,Female,30936
7520,30,Female,32841
7552,31,Female,33710
7584,32,Female,34382
7616,33,Female,34489
7648,34,Female,36284
7680,35,Female,37940
7712,36,Female,39030
7744,37,Female,39193
7776,38,Female,40902
7808,39,Female,42592
7840,40,Female,43143
7872,41,Female,43696
7904,42,Female,43337
7936,43,Female,41408
7968,44,Female,39379
8000,45,Female,38506
8032,46,Female,38127
8064,47,Female,37471
8096,48,Female,37145
8128,49,Female,37081
8160,50,Female,36199
8192,51,Female,35025
8224,52,Female,34414
8256,53,Female,32204
8288,54,Female,32168
8320,55,Female,31563
8352,56,Female,31279
8384,57,Female,31764
8416,58,Female,30660
8448,59,Female,30000
8480,60,Female,29063
8512,61,Female,28856
8544,62,Female,27899
8576,63,Female,26312
8608,64,Female,26109
8640,65,Female,25183
8672,66,Female,24662
8704,67,Female,24524
8736,68,Female,23018
8768,69,Female,23375
8800,70,Female,21897
8832,71,Female,21236
8864,72,Female,21159
8896,73,Female,20134
8928,74,Female,19177
8960,75,Female,18294
8992,76,Female,17665
9024,77,Female,15971
9056,78,Female,14666
9088,79,Female,13938
9120,80,Female,12173
9152,81,Female,11191
9184,82,Female,10759
9216,83,Female,9985
9248,84,Female,8890
9280,85,Female,8303
9312,86,Female,7501
9344,87,Female,6766
9376,88,Female,5927
9408,89,Female,4961
9440,90,Female,4285
9472,91,Female,3781
9504,92,Female,2809
9536,93,Female,2320
9568,94,Female,1737
9600,95,Female,1344
9632,96,Female,956
9664,97,Female,732
9696,98,Female,492
9728,99,Female,336
9760,100,Female,584
