,Sex,Single Year of Age,Administrative Counties,VALUE
4289,Male,31,Carlow County Council,349
4290,Male,31,Dublin City Council,6287
4291,Male,31,Dún Laoghaire Rathdown County Council,1510
4292,Male,31,Fingal County Council,2061
4293,Male,31,South Dublin County Council,1898
4294,Male,31,Kildare County Council,1396
4295,Male,31,Kilkenny County Council,599
4296,Male,31,Laois County Council,509
4297,Male,31,Longford County Council,232
4298,Male,31,Louth County Council,796
4299,Male,31,Meath County Council,1252
4300,Male,31,Offaly County Council,443
4301,Male,31,Westmeath County Council,602
4302,Male,31,Wexford County Council,945
4303,Male,31,Wicklow County Council,783
4304,Male,31,Clare County Council,623
4305,Male,31,Cork City Council,1767
4306,Male,31,Cork County Council,1725
4307,Male,31,Kerry County Council,772
4308,Male,31,Limerick City & County Council,1205
4309,Male,31,Tipperary County Council,867
4310,Male,31,Waterford City & County Council,712
4311,Male,31,Galway City Council,759
4312,Male,31,Galway County Council,958
4313,Male,31,Leitrim County Council,155
4314,Male,31,Mayo  County Council,719
4315,Male,31,Roscommon County Council,343
4316,Male,31,Sligo County Council,334
4317,Male,31,Cavan County Council,450
4318,Male,31,Donegal County Council,831
4319,Male,31,Monaghan County Council,355
4321,Male,32,Carlow County Council,362
4322,Male,32,Dublin City Council,6080
4323,Male,32,Dún Laoghaire Rathdown County Council,1516
4324,Male,32,Fingal County Council,2088
4325,Male,32,South Dublin County Council,1887
4326,Male,32,Kildare County Council,1462
4327,Male,32,Kilkenny County Council,578
4328,Male,32,Laois County Council,559
4329,Male,32,Longford County Council,267
4330,Male,32,Louth County Council,782
4331,Male,32,Meath County Council,1254
4332,Male,32,Offaly County Council,447
4333,Male,32,Westmeath County Council,562
4334,Male,32,Wexford County Council,906
4335,Male,32,Wicklow County Council,827
4336,Male,32,Clare County Council,642
4337,Male,32,Cork City Council,1727
4338,Male,32,Cork County Council,1791
4339,Male,32,Kerry County Council,854
4340,Male,32,Limerick City & County Council,1316
4341,Male,32,Tipperary County Council,867
4342,Male,32,Waterford City & County Council,771
4343,Male,32,Galway City Council,655
4344,Male,32,Galway County Council,907
4345,Male,32,Leitrim County Council,163
4346,Male,32,Mayo  County Council,667
4347,Male,32,Roscommon County Council,381
4348,Male,32,Sligo County Council,361
4349,Male,32,Cavan County Council,466
4350,Male,32,Donegal County Council,927
4351,Male,32,Monaghan County Council,341
4353,Male,33,Carlow County Council,366
4354,Male,33,Dublin City Council,5734
4355,Male,33,Dún Laoghaire Rathdown County Council,1442
4356,Male,33,Fingal County Council,2157
4357,Male,33,South Dublin County Council,1895
4358,Male,33,Kildare County Council,1522
4359,Male,33,Kilkenny County Council,563
4360,Male,33,Laois County Council,538
4361,Male,33,Longford County Council,261
4362,Male,33,Louth County Council,814
4363,Male,33,Meath County Council,1253
4364,Male,33,Offaly County Council,444
4365,Male,33,Westmeath County Council,582
4366,Male,33,Wexford County Council,821
4367,Male,33,Wicklow County Council,837
4368,Male,33,Clare County Council,643
4369,Male,33,Cork City Council,1633
4370,Male,33,Cork County Council,1910
4371,Male,33,Kerry County Council,755
4372,Male,33,Limerick City & County Council,1310
4373,Male,33,Tipperary County Council,884
4374,Male,33,Waterford City & County Council,686
4375,Male,33,Galway City Council,594
4376,Male,33,Galway County Council,996
4377,Male,33,Leitrim County Council,173
4378,Male,33,Mayo  County Council,761
4379,Male,33,Roscommon County Council,359
4380,Male,33,Sligo County Council,321
4381,Male,33,Cavan County Council,466
4382,Male,33,Donegal County Council,868
4383,Male,33,Monaghan County Council,300
4385,Male,34,Carlow County Council,360
