Single Year of Age,Carlow County Council,Cavan County Council,Clare County Council,Cork City Council,Cork County Council,Donegal County Council,Dublin City Council,Dún Laoghaire Rathdown County Council,Fingal County Council,Galway City Council,Galway County Council,Kerry County Council,Kildare County Council,Kilkenny County Council,Laois County Council,Leitrim County Council,Limerick City & County Council,Longford County Council,Louth County Council,Mayo  County Council,Meath County Council,Monaghan County Council,Offaly County Council,Roscommon County Council,Sligo County Council,South Dublin County Council,Tipperary County Council,Waterford City & County Council,Westmeath County Council,Wexford County Council,Wicklow County Council
31,349.0,450.0,623.0,1767.0,1725.0,831.0,6287.0,1510.0,2061.0,759.0,958.0,772.0,1396.0,599.0,509.0,155.0,1205.0,232.0,796.0,719.0,1252.0,355.0,443.0,343.0,334.0,1898.0,867.0,712.0,602.0,945.0,783.0
32,362.0,466.0,642.0,1727.0,1791.0,927.0,6080.0,1516.0,2088.0,655.0,907.0,854.0,1462.0,578.0,559.0,163.0,1316.0,267.0,782.0,667.0,1254.0,341.0,447.0,381.0,361.0,1887.0,867.0,771.0,562.0,906.0,827.0
33,366.0,466.0,643.0,1633.0,1910.0,868.0,5734.0,1442.0,2157.0,594.0,996.0,755.0,1522.0,563.0,538.0,173.0,1310.0,261.0,814.0,761.0,1253.0,300.0,444.0,359.0,321.0,1895.0,884.0,686.0,582.0,821.0,837.0
34,360.0,475.0,714.0,1636.0,2038.0,946.0,5503.0,1488.0,2188.0,611.0,1056.0,817.0,1563.0,594.0,548.0,192.0,1314.0,291.0,890.0,778.0,1350.0,422.0,503.0,383.0,370.0,2040.0,939.0,711.0,575.0,961.0,865.0
35,387.0,519.0,729.0,1687.0,2181.0,959.0,5488.0,1506.0,2321.0,610.0,1139.0,860.0,1722.0,634.0,655.0,216.0,1404.0,296.0,868.0,821.0,1504.0,406.0,546.0,420.0,399.0,2054.0,982.0,807.0,666.0,986.0,923.0
36,397.0,549.0,765.0,1701.0,2198.0,1005.0,5401.0,1511.0,2484.0,625.0,1193.0,992.0,1733.0,625.0,667.0,211.0,1419.0,331.0,946.0,871.0,1526.0,421.0,521.0,465.0,444.0,2304.0,1011.0,832.0,722.0,1009.0,949.0
37,451.0,578.0,788.0,1759.0,2355.0,991.0,5208.0,1543.0,2528.0,650.0,1243.0,948.0,1837.0,657.0,704.0,211.0,1468.0,275.0,878.0,899.0,1601.0,472.0,563.0,431.0,423.0,2327.0,1019.0,823.0,719.0,1002.0,1076.0
38,465.0,583.0,863.0,1728.0,2461.0,1036.0,5083.0,1644.0,2682.0,624.0,1266.0,1033.0,1889.0,683.0,718.0,231.0,1521.0,333.0,964.0,892.0,1605.0,466.0,564.0,492.0,493.0,2418.0,1124.0,851.0,657.0,1067.0,1077.0
39,453.0,641.0,829.0,1721.0,2631.0,1121.0,4959.0,1667.0,2780.0,644.0,1407.0,1022.0,2085.0,756.0,762.0,242.0,1540.0,337.0,1001.0,959.0,1752.0,500.0,581.0,470.0,509.0,2420.0,1136.0,851.0,758.0,1078.0,1137.0
40,494.0,633.0,907.0,1750.0,2744.0,1149.0,4961.0,1736.0,2973.0,707.0,1443.0,1112.0,2090.0,810.0,747.0,245.0,1637.0,396.0,1119.0,943.0,1787.0,477.0,691.0,489.0,491.0,2575.0,1226.0,898.0,723.0,1172.0,1176.0
