"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200501","2005 January","-","National - all residential properties","Base 2015=100","124.9"
"HPM09C01","Residential Property Price Index","200501","2005 January","01","National - houses","Base 2015=100","120.7"
"HPM09C01","Residential Property Price Index","200501","2005 January","02","National - apartments","Base 2015=100","153.4"
"HPM09C01","Residential Property Price Index","200501","2005 January","05","Dublin - all residential properties","Base 2015=100","118.5"
"HPM09C01","Residential Property Price Index","200501","2005 January","06","Dublin - houses","Base 2015=100","112"
"HPM09C01","Residential Property Price Index","200501","2005 January","07","Dublin - apartments","Base 2015=100","144"
"HPM09C01","Residential Property Price Index","200501","2005 January","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","03","National excluding Dublin - all residential properties","Base 2015=100","142.1"
"HPM09C01","Residential Property Price Index","200501","2005 January","04","National excluding Dublin - houses","Base 2015=100","139"
"HPM09C01","Residential Property Price Index","200501","2005 January","12","National excluding Dublin - apartments","Base 2015=100","200.3"
"HPM09C01","Residential Property Price Index","200501","2005 January","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200501","2005 January","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200502","2005 February","-","National - all residential properties","Base 2015=100","125.9"
