Date,Value
2014-09-01,95.6
2014-10-01,96.6
2014-11-01,96.9
2014-12-01,96.2
2015-01-01,96.5
2015-02-01,96.2
2015-03-01,96.5
2015-04-01,97.3
2015-05-01,98.4
2015-06-01,100.0
2015-07-01,100.8
2015-08-01,102.0
2015-09-01,102.4
2015-10-01,103.5
2015-11-01,103.2
2015-12-01,103.0
2016-01-01,104.0
2016-02-01,103.4
2016-03-01,103.7
2016-04-01,104.3
2016-05-01,104.5
2016-06-01,105.6
2016-07-01,107.9
2016-08-01,109.4
2016-09-01,110.7
2016-10-01,111.2
2016-11-01,112.7
2016-12-01,112.2
2017-01-01,113.0
2017-02-01,113.3
2017-03-01,113.8
2017-04-01,114.2
2017-05-01,115.9
2017-06-01,117.5
2017-07-01,120.4
2017-08-01,122.2
2017-09-01,123.9
2017-10-01,124.3
2017-11-01,125.3
2017-12-01,125.9
2018-01-01,126.5
2018-02-01,127.4
2018-03-01,128.2
2018-04-01,129.5
2018-05-01,130.3
2018-06-01,131.6
2018-07-01,132.4
2018-08-01,133.1
2018-09-01,134.4
2018-10-01,134.7
2018-11-01,134.2
2018-12-01,133.8
2019-01-01,133.1
2019-02-01,132.9
2019-03-01,133.0
2019-04-01,133.3
2019-05-01,133.6
2019-06-01,134.2
2019-07-01,135.3
2019-08-01,135.7
2019-09-01,135.9
2019-10-01,136.0
2019-11-01,135.7
2019-12-01,134.2
2020-01-01,134.4
2020-02-01,134.2
2020-03-01,134.3
2020-04-01,134.2
2020-05-01,134.1
2020-06-01,134.2
2020-07-01,134.4
2020-08-01,134.5
2020-09-01,134.8
2020-10-01,135.4
2020-11-01,136.2
2020-12-01,137.2
2021-01-01,137.8
2021-02-01,138.3
2021-03-01,139.0
2021-04-01,140.2
2021-05-01,141.3
2021-06-01,143.4
2021-07-01,145.8
2021-08-01,149.1
2021-09-01,151.5
2021-10-01,153.3
2021-11-01,155.3
2021-12-01,156.7
2022-01-01,158.1
2022-02-01,159.1
2022-03-01,159.9
2022-04-01,160.5
2022-05-01,161.7
2022-06-01,163.4
2022-07-01,165.0
2022-08-01,166.7
2022-09-01,167.7
2022-10-01,168.1
2022-11-01,168.4
2022-12-01,168.8
2023-01-01,167.9
2023-02-01,167.3
2023-03-01,166.3
2023-04-01,166.1
2023-05-01,165.9
2023-06-01,166.9
2023-07-01,167.7
2023-08-01,168.5
2023-09-01,170.1
2023-10-01,171.9
2023-11-01,173.5
2023-12-01,175.7
2024-01-01,176.9
2024-02-01,177.7
2024-03-01,178.6
2024-04-01,179.3
2024-05-01,180.0
2024-06-01,181.7
2024-07-01,183.9
2024-08-01,185.6
2024-09-01,187.0
