Date,WPI_BCM_Value
2015-01-01,99.2
2015-02-01,99.0
2015-03-01,99.5
2015-04-01,99.8
2015-05-01,100.2
2015-06-01,100.6
2015-07-01,100.4
2015-08-01,100.4
2015-09-01,100.3
2015-10-01,100.0
2015-11-01,100.4
2015-12-01,100.1
2016-01-01,100.1
2016-02-01,99.6
2016-03-01,99.8
2016-04-01,100.4
2016-05-01,100.7
2016-06-01,100.8
2016-07-01,101.0
2016-08-01,101.0
2016-09-01,101.2
2016-10-01,101.3
2016-11-01,101.6
2016-12-01,101.6
2017-01-01,101.8
2017-02-01,101.8
2017-03-01,102.9
2017-04-01,103.0
2017-05-01,103.5
2017-06-01,103.5
2017-07-01,103.8
2017-08-01,103.8
2017-09-01,104.0
2017-10-01,104.0
2017-11-01,103.7
2017-12-01,104.0
2018-01-01,103.8
2018-02-01,103.9
2018-03-01,104.3
2018-04-01,103.9
2018-05-01,104.0
2018-06-01,104.1
2018-07-01,104.8
2018-08-01,104.8
2018-09-01,104.5
2018-10-01,104.1
2018-11-01,104.2
2018-12-01,104.4
2019-01-01,105.0
2019-02-01,105.5
2019-03-01,105.9
2019-04-01,106.2
2019-05-01,106.0
2019-06-01,106.0
2019-07-01,106.0
2019-08-01,106.2
2019-09-01,105.8
2019-10-01,105.8
2019-11-01,106.0
2019-12-01,105.7
2020-01-01,106.0
2020-02-01,105.9
2020-03-01,106.0
2020-04-01,106.9
2020-05-01,106.0
2020-06-01,106.4
2020-07-01,106.5
2020-08-01,106.2
2020-09-01,106.4
2020-10-01,106.2
2020-11-01,106.0
2020-12-01,105.9
2021-01-01,106.6
2021-02-01,106.6
2021-03-01,108.4
2021-04-01,110.5
2021-05-01,111.3
2021-06-01,114.7
2021-07-01,117.0
2021-08-01,119.7
2021-09-01,120.2
2021-10-01,122.2
2021-11-01,122.9
2021-12-01,123.0
2022-01-01,124.4
2022-02-01,125.5
2022-03-01,126.7
2022-04-01,130.6
2022-05-01,132.7
2022-06-01,135.9
2022-07-01,141.1
2022-08-01,141.0
2022-09-01,140.1
2022-10-01,141.9
2022-11-01,142.8
2022-12-01,142.9
2023-01-01,143.7
2023-02-01,144.0
2023-03-01,143.8
2023-04-01,145.9
2023-05-01,144.8
2023-06-01,144.8
2023-07-01,144.2
2023-08-01,144.2
2023-09-01,143.8
2023-10-01,143.8
2023-11-01,143.3
2023-12-01,143.3
2024-01-01,142.8
2024-02-01,143.0
2024-03-01,143.3
2024-04-01,143.9
2024-05-01,144.3
2024-06-01,144.7
2024-07-01,144.9
2024-08-01,144.6
2024-09-01,144.8
